,city,state,estacionesid,_id,lat,long,nombre,codigo,redesid
0,Durango,Durango,59,5cccf5bee2705c1932820592,24.051555555556,-104.61136111111,IPN,IPN,42
1,Durango,Durango,60,5cccf5bee2705c1932820593,24.026777777778,-104.692975,SRNyMA,SRN,42
2,Gómez Palacio,Durango,65,5cccf5bee2705c1932820594,25.551222222222,-103.50252777778,Campestre,CAM,43
3,Celaya,Guanajuato,68,5cccf5bee2705c1932820596,20.5175,-100.81555555556,Policía,POL,45
4,Celaya,Guanajuato,69,5cccf5bee2705c1932820597,20.545277777778,-100.80694444444,Tecnológico,TEC,45
5,Celaya,Guanajuato,70,5cccf5bee2705c1932820598,20.5375,-100.83972222222,San Juanico,SJ,45
6,Irapuato,Guanajuato,71,5cccf5bee2705c1932820599,20.6925,-101.365,Sec. Oficial,SEC,46
7,Irapuato,Guanajuato,72,5cccf5bee2705c193282059a,21.118055555555998,-101.60216666667,Bomberos,BOM,46
8,Irapuato,Guanajuato,73,5cccf5bee2705c193282059b,20.658055555556,-101.34888888889,Teódula,TEO,46
9,León,Guanajuato,74,5cccf5bee2705c193282059c,21.103055555556,-101.63611111111,CICEG - Bomberos,CC,47
10,León,Guanajuato,75,5cccf5bee2705c193282059d,21.133333333333002,-101.68,Facultad de Medicina,FM,47
11,León,Guanajuato,76,5cccf5bee2705c193282059e,21.108611111111,-101.68861111111,T21,T21,47
12,Salamanca,Guanajuato,77,5cccf5bee2705c193282059f,20.578611111110998,-101.19888888889,Cruz roja,CR,48
13,Salamanca,Guanajuato,78,5cccf5bee2705c19328205a0,20.558055555556,-101.20472222222,DIF,DIF,48
14,Salamanca,Guanajuato,79,5cccf5bee2705c19328205a1,20.565,-101.18805555556,Nativitas,NAT,48
15,Silao,Guanajuato,80,5cccf5bee2705c19328205a2,20.947777777778,-101.42583333333,Hospital General,HG,49
16,Atitalaquia,Hidalgo,82,5cccf5bee2705c19328205a3,20.06,-99.221944444444,Centro de Salud,ATI,51
17,Atotonilco,Hidalgo,83,5cccf5bee2705c19328205a4,20.006666666666998,-99.21888888888901,Primaria Revolución,ATO,52
18,Tepeapulco,Hidalgo,84,5cccf5bee2705c19328205a5,19.771694444444,-98.577694444444,Estación de Bomberos de Cd. Sahagún,TEP,53
19,Huichapan,Hidalgo,85,5cccf5bee2705c19328205a6,20.375111111111,-99.65444444444401,Hospital,HUI,54
20,Tepeji,Hidalgo,87,5cccf5bee2705c19328205a7,20.505555555556,-99.580277777778,Primaria Melchor Ocampo,TPJ,56
21,Tula,Hidalgo,90,5cccf5bee2705c19328205a8,20.053777777778002,-99.34005555555599,Centro de Salud,CSA,58
22,Pachuca,Hidalgo,92,5cccf5bee2705c19328205a9,20.120555555556,-98.74,Jardín del Maestro,JDN,59
23,Pachuca,Hidalgo,93,5cccf5bee2705c19328205aa,20.077222222221998,-98.777972222222,Museo del Rehilete,REH,59
24,Tizayuca,Hidalgo,96,5cccf5bee2705c19328205ab,19.840583333333,-98.981333333333,Biblioteca,TIZ,60
25,Guadalajara,Jalisco,101,5cccf5bee2705c19328205ac,20.719673888889,-103.35543472222,Atemajac,ATM,63
26,Guadalajara,Jalisco,102,5cccf5bee2705c19328205ad,20.673764722222,-103.33333611111,Centro ,CEN,63
27,Guadalajara,Jalisco,103,5cccf5bee2705c19328205ae,20.631268055556,-103.41643083333,Las Águilas,AGU,63
28,Guadalajara,Jalisco,104,5cccf5bee2705c19328205af,20.576823888889,-103.32652861111,Las Pintas,PIN,63
29,Guadalajara,Jalisco,105,5cccf5bee2705c19328205b0,20.629294722222,-103.26397416667,Loma Dorada,LDO,63
30,Guadalajara,Jalisco,106,5cccf5bee2705c19328205b1,20.614444444444,-103.34333333333001,Miravalle,MIR,63
31,Guadalajara,Jalisco,107,5cccf5bee2705c19328205b2,20.700538611111,-103.29661666667,Oblatos,OBL,63
32,Guadalajara,Jalisco,108,5cccf5bee2705c19328205b3,20.529149444444002,-103.37717944444,Santa Fe,SFE,63
33,Guadalajara,Jalisco,109,5cccf5bee2705c19328205b4,20.640966666666998,-103.31259194444,Tlaquepaque,TLA,63
34,Guadalajara,Jalisco,110,5cccf5bee2705c19328205b5,20.680193055556,-103.39855138889,Vallarta,VAL,63
35,Toluca,México,123,5cccf5bee2705c19328205bb,19.260305555556,-99.645722222222,Ceboruco,CB,65
36,Toluca,México,124,5cccf5bee2705c19328205bc,19.278083333333,-99.656416666667,Toluca Centro,CE,65
37,Toluca,México,125,5cccf5bee2705c19328205bd,19.270194444444,-99.595194444444,Metepec,MT,65
38,Toluca,México,126,5cccf5bee2705c19328205be,19.283444444444,-99.683488888889,Oxtotitlán,OX,65
39,Toluca,México,127,5cccf5bee2705c19328205bf,19.327222222221998,-99.634288888889,San Cristobal,SC,65
40,Toluca,México,128,5cccf5bee2705c19328205c0,19.280416666666998,-99.541666666667,San Mateo Atenco,SM,65
41,Morelia,Michoacán,129,5cccf5bee2705c19328205c1,19.690461111111,-101.20478888889,Universidad Michoacana de San Nicolás Hidalgo,ECU,66
42,Morelia,Michoacán,131,5cccf5bee2705c19328205c2,19.691977777778,-101.15547222222,Laboratorio de Salud,LAB,66
43,Cuernavaca,Morelos,134,5cccf5bee2705c19328205c5,18.921817777778,-99.234896666667,Cuernavaca 01,PGO,69
44,Tepic,Nayarit,136,5cccf5bee2705c19328205c7,21.478177777778,-104.86774166667,Tecnológico de Tepic,TEC,71
45,Tepic,Nayarit,137,5cccf5bee2705c19328205c8,21.509805555556003,-104.91018055556,Primaria Julián Gascón Mercado,PRIM,71
46,Monterrey,Nuevo León,139,5cccf5bee2705c19328205c9,25.675555555556002,-100.46472222222,Santa Catarina,SO,72
47,Monterrey,Nuevo León,140,5cccf5bee2705c19328205ca,25.756944444444,-100.36583333333,San Bernabé,NO,72
48,Monterrey,Nuevo León,141,5cccf5bee2705c19328205cb,25.675833333333003,-100.33833333333,Obispado,CE,72
49,Monterrey,Nuevo León,142,5cccf5bee2705c19328205cc,25.745277777778,-100.255,San Nicolás,NE,72
50,Monterrey,Nuevo León,143,5cccf5bee2705c19328205cd,25.668055555556002,-100.24944444444,La Pastora,SE,72
51,Monterrey,Nuevo León,144,5cccf5bee2705c19328205ce,25.800555555556002,-100.34444444444,Escobedo,N,72
52,Monterrey,Nuevo León,145,5cccf5bee2705c19328205cf,25.783333333333,-100.58583333333,García,NO2,72
53,Monterrey,Nuevo León,146,5cccf5bee2705c19328205d0,25.777222222222,-100.18833333333001,Apodaca,NE2,72
54,Monterrey,Nuevo León,147,5cccf5bee2705c19328205d1,25.646111111111,-100.09555555556,Juárez,SE2,72
55,Monterrey,Nuevo León,148,5cccf5bee2705c19328205d2,25.665277777778,-100.41277777778,San Pedro,SO2,72
56,Oaxaca,Oaxaca,160,5cccf5bee2705c19328205d3,16.699340277778,-96.866455,CEDART,CED,73
57,Puebla,Puebla,161,5cccf5bee2705c19328205d4,18.987583333333003,-98.250388888889,Agua Santa,STA,74
58,Puebla,Puebla,162,5cccf5bee2705c19328205d5,19.041388888889,-98.214222222222,Las Ninfas,NIN,74
59,Puebla,Puebla,163,5cccf5bee2705c19328205d6,19.062722222222,-98.224527777778,Benemérito Instituto Normal del Estado,BINE,74
60,Puebla,Puebla,165,5cccf5bee2705c19328205d7,18.987361111111,-98.277944444444,Velódromo,VEL,74
61,Santiago de Querétaro,Querétaro,170,5cccf5bee2705c19328205dc,20.587222222222,-100.39472222222,Bomberos,BOM,78
62,San Luis Potosí Estatal,San Luis Potosí,171,5cccf5bee2705c19328205dd,22.15125,-100.99611111111,Industriales Potosinos Asociados,IPAC,79
63,San Luis Potosí Estatal,San Luis Potosí,172,5cccf5bee2705c19328205de,22.13175,-100.97691666667,DIF,DIF,79
64,San Luis Potosí Estatal,San Luis Potosí,174,5cccf5bee2705c19328205df,22.174222222222,-100.99308333333,Biblioteca,BIB,79
65,Nogales,Sonora,187,5cccf5bee2705c19328205e6,31.293111111111003,-110.95230555556002,Instituto Tecnológico de Nogales,TEC,88
66,Centro,Tabasco,192,5cccf5bee2705c19328205e7,18.022933333333,-92.903219444444,Instituto Tecnológico de Villahermosa,ITVH,93
67,Tlaxcala,Tlaxcala,220,5cccf5bee2705c19328205e9,19.317583333333,-98.23730555555599,Palacio de Gobierno,PGO,107
68,Minatitlán,Veracruz,234,5cccf5bee2705c19328205ea,18.005675,-94.55533611111099,Tecnológico,TEC,114
69,Xalapa,Veracruz,235,5cccf5bee2705c19328205eb,19.530094444444,-96.881880555556,STPS,STP,115
70,Mérida,Yucatán,236,5cccf5bee2705c19328205ec,20.973272222222,-89.62481111111099,SEDUMA01,CEN,116
71,Valle de México,Ciudad de México,240,5cccf5bee2705c19328205ed,19.635555555556,-98.912222222222,Acolman,ACO,119
72,Valle de México,Ciudad de México,241,5cccf5bee2705c19328205ee,19.154286111111,-99.16277777777799,Ajusco,AJU,119
73,Valle de México,Ciudad de México,242,5cccf5bee2705c19328205ef,19.272222222222,-99.20777777777799,Ajusco Medio,AJM,119
74,Valle de México,Ciudad de México,243,5cccf5bee2705c19328205f0,19.577222222221998,-99.254166666667,Atizapán,ATI,119
75,Valle de México,Ciudad de México,244,5cccf5bee2705c19328205f1,19.468611111111,-99.17,Camarones,CAM,119
76,Valle de México,Ciudad de México,245,5cccf5bee2705c19328205f2,19.326388888889,-99.176111111111,Centro de Ciencias de la Atmósfera,CCA,119
77,Valle de México,Ciudad de México,246,5cccf5bee2705c19328205f3,19.267222222222,-98.88611111111099,Chalco,CHO,119
78,Valle de México,Ciudad de México,248,5cccf5bee2705c19328205f5,19.365555555556,-99.29194444444401,Cuajimalpa,CUA,119
79,Valle de México,Ciudad de México,249,5cccf5bee2705c19328205f6,19.722222222221998,-99.19861111111099,Cuautitlán,CUT,119
80,Valle de México,Ciudad de México,250,5cccf5bee2705c19328205f7,19.4825,-99.243611111111,FES Acatlán,FAC,119
81,Valle de México,Ciudad de México,251,5cccf5bee2705c19328205f8,19.411666666667,-99.15222222222201,Hospital General de México,HGM,119
82,Valle de México,Ciudad de México,252,5cccf5bee2705c19328205f9,19.384444444444,-99.117777777778,Iztacalco,IZT,119
83,Valle de México,Ciudad de México,253,5cccf5bee2705c19328205fa,19.535,-99.117777777778,La Presa,LPR,119
84,Valle de México,Ciudad de México,254,5cccf5bee2705c19328205fb,19.578888888889,-99.03972222222201,Los Laureles,LLA,119
85,Valle de México,Ciudad de México,256,5cccf5bee2705c19328205fc,19.424722222221998,-99.11972222222201,Merced,MER,119
86,Valle de México,Ciudad de México,257,5cccf5bee2705c19328205fd,19.460416666666998,-98.902861111111,Montecillo,MON,119
87,Valle de México,Ciudad de México,258,5cccf5bee2705c19328205fe,19.393888888889002,-99.028333333333,Nezahualcóyotl,NEZ,119
88,Valle de México,Ciudad de México,259,5cccf5bee2705c19328205ff,19.325277777778002,-99.204166666667,Pedregal,PED,119
89,Valle de México,Ciudad de México,260,5cccf5bee2705c1932820600,19.533055555556,-99.03055555555599,San Agustín,SAG,119
90,Valle de México,Ciudad de México,262,5cccf5bee2705c1932820601,19.3575,-99.263055555556,Santa Fe,SFE,119
91,Valle de México,Ciudad de México,263,5cccf5bee2705c1932820602,19.404,-99.20272222222201,Miguel Hidalgo,MGH,119
92,Valle de México,Ciudad de México,265,5cccf5bee2705c1932820603,19.246666666667,-99.010833333333,Tlahuac,TAH,119
93,Valle de México,Ciudad de México,266,5cccf5bee2705c1932820604,19.529166666667,-99.204722222222,Tlalnepantla,TLA,119
94,Valle de México,Ciudad de México,267,5cccf5bee2705c1932820605,19.602777777778,-99.177222222222,Tultitlán,TLI,119
95,Valle de México,Ciudad de México,268,5cccf5bee2705c1932820606,19.360833333333,-99.073888888889,UAM Iztapalapa,UIZ,119
96,Valle de México,Ciudad de México,269,5cccf5bee2705c1932820607,19.304444444444,-99.103888888889,UAM Xochimilco,UAX,119
97,Valle de México,Ciudad de México,270,5cccf5bee2705c1932820608,19.6575,-99.096666666667,Villa de las Flores,VIF,119
98,Valle de México,Ciudad de México,271,5cccf5bee2705c1932820609,19.526111111111,-99.0825,Xalostoc,XAL,119
99,Poza Rica,Veracruz,291,5cccf5bee2705c193282060a,20.508972222222,-97.44698611111099,Universidad Veracruzana,PR-03,120
100,Tulancingo,Hidalgo,292,5cccf5bee2705c193282060b,20.08525,-98.36663888888901,Tulancingo,TLN,121
101,Oaxaca,Oaxaca,297,5cccf5bee2705c193282060e,17.094666666667,-96.75216666666701,Casa Hogar,CHO,73
102,Valle de México,Ciudad de México,299,5cccf5bee2705c193282060f,19.199166666666997,-99.010833333333,Milpa Alta,MPA,119
103,Valle de México,Ciudad de México,300,5cccf5bee2705c1932820610,19.371666666667,-99.159166666667,Benito Juárez,BJU,119
104,Valle de México,Ciudad de México,301,5cccf5bee2705c1932820611,19.292222222221998,-99.38055555555599,Instituto Nacional de Investigaciones Nucleares,INN,119
105,Valle de México,Ciudad de México,302,5cccf5bee2705c1932820612,19.482777777778,-99.094722222222,Gustavo A. Madero,GAM,119
106,Aguascalientes,Aguascalientes,303,5cccf5bee2705c1932820613,21.903000000000002,-102.28461111111,Instituto Educativo,IED,30
107,Saltillo,Coahuila,304,5cccf5bee2705c1932820614,25.421472222222,-100.99686111111001,Finanzas,FIN,123
108,Monclova,Coahuila,305,5cccf5bee2705c1932820615,26.908194444444,-101.427,Jurisdicción Sanitaria,JUR,124
109,Piedras Negras,Coahuila,306,5cccf5bee2705c1932820616,28.707666666667,-100.5265,Centro de Rehabilitación DIF,DIF,125
110,Aguascalientes,Aguascalientes,32,5cccf5bee2705c1932820581,21.846391666667,-102.28843055556,Secretaría de Medio Ambiente,SMA,30
111,Aguascalientes,Aguascalientes,33,5cccf5bee2705c1932820582,21.883780555556,-102.295825,Centro,CEN,30
112,San Miguel de Allende,Guanajuato,352,5cccf5bee2705c193282061d,20.914755555556,-100.74380555556,Presidencia Municipal,PRE-SMA,130
113,Abasolo,Guanajuato,356,5cccf5bee2705c193282061e,20.425277777778,-101.19805555556,Presidencia Municipal,ABA,134
114,San Luis de la Paz,Guanajuato,358,5cccf5bee2705c193282061f,21.295861111110998,-100.52330555556,Presidencia Municipal,SLP,136
115,Guanajuato,Guanajuato,359,5cccf5bee2705c1932820620,21.017583333333,-101.25736111111,Universidad Gto Sede Belen,UG-B,137
116,Morelia,Michoacán,388,5cccf5bee2705c1932820626,19.701388888889,-101.195,Palacio Municipal,ECH,66
117,Mexicali,Baja California,39,5cccf5bee2705c1932820583,32.639722222222,-115.50638888889,COBACH,SPABC14,32
118,Puebla,Puebla,406,5cccf5bee2705c193282062b,19.071888888889,-98.151722222222,Universidad Tecnológica de Puebla,UTP,74
119,Mexicali,Baja California,41,5cccf5bee2705c1932820584,32.603638888888995,-115.48594444443998,CESPM,SPABC19,32
120,Purísima del Rincón,Guanajuato,423,5cccf5bee2705c1932820630,21.040238888889,-101.87628333333001,Purísima del Rincón,PUR,149
121,Monterrey,Nuevo León,424,5cccf5bee2705c1932820631,25.600555555556003,-99.994166666667,Cadereyta,SE3,72
122,Monterrey,Nuevo León,425,5cccf5bee2705c1932820632,25.73,-100.30972222222,Universidad,N2,72
123,Monterrey,Nuevo León,426,5cccf5bee2705c1932820633,25.575277777778002,-100.24916666666999,Pueblo Serena,SUR,72
124,San Luis Potosí Estatal,San Luis Potosí,427,5cccf5bee2705c1932820634,22.159444444444,-100.95333333333001,Escuela Primaria 1° de mayo,PRIM,79
125,Ciudad Juárez 2,Chihuahua - UACJ,428,5cccf5bee2705c1932820635,31.743333333333002,-106.43166666667,Instituto de Ingeniería y Tecnología,IIT,150
126,Tijuana,Baja California,46,5cccf5bee2705c1932820589,32.529461111111004,-116.92128055556002,Laboratorio,SPABC21,35
127,Tijuana,Baja California,47,5cccf5bee2705c193282058a,32.4975,-116.97694444443998,La Mesa,SPABC03,35
128,Chihuahua,Chihuahua -Estatal,53,5cccf5bee2705c193282058c,28.632775,-106.03886694444,SUR,SUR,38
129,Chihuahua,Chihuahua -Estatal,54,5cccf5bee2705c193282058d,28.652227777778002,-106.08535833333,Centro,CEN,38
130,Chihuahua,Chihuahua - Municipal,55,5cccf5bee2705c193282058e,28.716083333333,-106.13330555556,CIMAV,CIMAV,39
131,Torreón,Coahuila,56,5cccf5bee2705c193282058f,25.522694444444,-103.39580555556,CONALEP,CNP,40
132,Colima,Colima,57,5cccf5bee2705c1932820590,19.262127777778,-103.72403333333,Tecnologico,TEC,41
133,Durango,Durango,58,5cccf5bee2705c1932820591,24.034472222222,-104.64502777778,ITD,ITD,42
