date, pm25, pm10, o3, so2, co
2018/4/20, 10, 29, , , 2
2018/4/21, 9, 52, , , 2
2018/4/22, 16, 46, , , 2
2018/4/23, 15, 24, , , 2
2018/4/24, 11, 23, , , 2
2018/4/25, 11, 26, , , 2
2018/4/26, 7, 40, , , 2
2018/4/27, 9, 28, , , 2
2018/4/28, 12, 18, , , 2
2018/4/29, 5, 17, , , 2
2018/4/30, 6, 29, , , 2
2018/5/1, 12, 38, , , 2
2018/5/2, 16, 53, , , 2
2018/5/3, 23, 72, , , 2
2018/5/4, 33, 53, , , 2
2018/5/5, 20, 20, , , 2
2018/5/6, 8, 39, , , 2
2018/5/7, 13, 50, , , 2
2018/5/8, 13, 58, , , 2
2018/5/9, 14, 46, , , 2
2018/5/10, 11, 46, , , 2
2018/5/11, 12, 43, , , 2
2018/5/12, 12, 52, , , 2
2018/5/13, 20, 50, , , 2
2018/5/14, 23, 37, , , 2
2018/5/15, 15, 39, , , 2
2018/5/16, 12, 39, , , 2
2018/5/17, 13, 56, , , 2
2018/5/18, 17, 54, , , 2
2018/5/19, 14, 49, , , 2
2018/5/20, 16, 46, , , 2
2018/5/21, 24, 27, , , 2
2018/5/22, 9, 23, , , 2
2018/5/23, 13, 20, , , 2
2018/5/24, 10, 25, , , 2
2018/5/25, 8, 36, , , 2
2018/5/26, 12, 44, , , 2
2018/5/27, 15, 42, , , 2
2018/5/28, 13, 42, , , 2
2018/5/29, 11, 45, , , 2
2018/5/30, 13, 55, , , 2
2018/5/31, 16, 54, , , 2
2018/6/1, 18, 65, , , 2
2018/6/2, 22, 62, , , 2
2018/6/3, 17, 47, , , 2
2018/6/4, 15, 48, , , 2
2018/6/5, 10, 68, , , 2
2018/6/6, 16, 64, , , 1
2018/6/7, 19, 71, , , 
2018/1/5, 8, 52, , , 1
2018/1/6, 14, 74, , , 1
2018/1/7, 23, 93, , , 2
2018/1/8, 33, 69, , , 1
2018/1/9, 13, 49, , , 1
2018/1/10, 10, 82, , , 2
2018/1/11, 19, 105, , , 1
2018/1/12, 18, 59, , , 1
2018/1/13, 9, 44, , , 1
2018/1/14, 9, 45, , , 1
2018/1/15, 11, 57, , , 1
2018/1/16, 13, 40, , , 1
2018/1/17, 7, 31, , , 1
2018/1/18, 8, 68, , , 1
2018/1/19, 32, 109, , , 2
2018/1/20, 40, 97, , , 2
2018/1/21, 32, 89, , , 2
2018/1/22, 27, 55, , , 1
2018/1/23, 9, 58, , , 1
2018/1/24, 11, 45, , , 1
2018/1/25, 7, 36, , , 1
2018/1/26, 10, 116, , , 2
2018/1/27, 41, , , , 
2018/2/7, 28, 67, , , 2
2018/2/8, 25, 43, , , 1
2018/2/9, 12, 73, , , 2
2018/2/10, 24, 81, , , 2
2018/2/11, 22, 52, , , 2
2018/2/12, 12, 72, , , 1
2018/2/13, 6, 69, , , 2
2018/2/14, 28, 78, , , 1
2018/2/15, 31, 103, , , 1
2018/2/16, 30, 150, , , 2
2018/2/17, 8, 69, , , 2
2018/2/18, 21, 49, , , 1
2018/2/19, 13, 58, , , 2
2018/2/20, 15, 69, , , 2
2018/2/21, 19, 69, , , 2
2018/2/22, 21, 24, , , 2
2018/2/23, 6, 74, , , 2
2018/2/24, 31, 81, , , 2
2018/2/25, 28, 49, , , 2
2018/2/26, 19, 37, , , 2
2018/2/27, 18, 52, , , 2
2018/2/28, 27, 89, , , 2
2018/3/1, 25, 83, , , 2
2018/3/2, 13, 47, , , 2
2018/3/3, 8, 48, , , 2
2018/3/4, 11, 64, , , 2
2018/3/5, 26, 71, , , 2
2018/3/6, 23, 48, , , 2
2018/3/7, 7, 52, , , 2
2018/3/8, 7, 45, , , 2
2018/3/9, 6, 42, , , 2
2018/3/10, 11, 74, , , 2
2018/3/11, 17, 75, , , 2
2018/3/12, 16, 33, , , 2
2018/3/13, 6, 44, , , 2
2018/3/14, 9, 22, , , 2
2018/3/15, 6, 37, , , 2
2018/3/16, 12, 54, , , 2
2018/3/17, 12, 53, , , 2
2018/3/18, 12, 70, , , 2
2018/3/19, 14, 65, , , 2
2018/3/20, 13, 66, , , 2
2018/3/21, 11, 55, , , 2
2018/3/22, 8, 44, , , 2
2018/3/23, 8, 50, , , 2
2018/3/24, 10, 76, , , 2
2018/3/25, 19, 77, , , 2
2018/3/26, 20, 74, , , 2
2018/3/27, 19, 71, , , 2
2018/3/28, 26, 73, , , 2
2018/3/29, 23, 44, , , 2
2018/3/30, 12, 53, , , 2
2018/3/31, 15, 51, , , 2
2018/4/1, 15, 67, , , 2
2017/10/2, 12, 37, , , 
2017/10/3, 14, 18, , , 
2017/10/4, 7, 14, , , 
2017/10/5, 7, 16, , , 
2017/10/6, 8, 35, , , 
2017/10/7, 17, 56, , , 
2017/10/8, 17, 39, , , 
2017/10/9, 14, 59, , , 1
2017/10/10, 18, 34, , , 
2017/10/11, 9, 26, , , 
2017/10/12, 9, 47, , , 
2017/10/13, 16, 33, , , 
2017/10/14, 12, 19, , , 
2017/10/15, 6, 29, , , 
2017/10/16, 12, 26, , , 
2017/10/17, 7, 38, , , 
2017/10/18, 12, 31, , , 
2017/10/19, 10, 49, , , 
2017/10/20, 13, 58, , , 1
2017/10/21, 21, 62, , , 1
2017/10/22, 24, 61, , , 1
2017/10/23, 22, 28, , , 
2017/10/24, 11, 29, , , 
2017/10/25, 11, 37, , , 
2017/10/26, 11, 49, , , 1
2017/10/27, 12, 88, , , 
2017/10/28, 10, 43, , , 
2017/10/29, 7, 41, , , 
2017/10/30, 9, 58, , , 1
2017/10/31, 13, 59, , , 1
2017/11/1, 15, 79, , , 1
2017/11/2, 27, 84, , , 1
2017/11/3, 25, 88, , , 1
2017/11/4, 34, 93, , , 1
2017/11/5, 44, 85, , , 1
2017/11/6, 36, 71, , , 1
2017/11/7, 17, 80, , , 1
2017/11/8, 25, 55, , , 1
2017/11/9, 19, 40, , , 1
2017/11/10, 13, 31, , , 1
2017/11/11, 11, 32, , , 1
2017/11/12, 16, 43, , , 1
2017/11/13, 22, 43, , , 1
2017/11/14, 12, 31, , , 1
2017/11/15, 9, 62, , , 1
2017/11/16, 17, 68, , , 1
2017/11/17, 19, 45, , , 1
2017/11/18, 16, 78, , , 1
2017/11/19, 15, 37, , , 
2017/11/20, 5, 30, , , 1
2017/11/21, 9, 44, , , 1
2017/11/22, 9, 46, , , 1
2017/11/23, 8, 52, , , 1
2017/11/24, 11, 60, , , 1
2017/11/25, 12, 64, , , 1
2017/11/26, 13, 49, , , 1
2017/11/27, 10, 43, , , 1
2017/11/28, 10, 78, , , 1
2017/11/29, 24, 88, , , 1
2017/11/30, 14, 54, , , 1
2017/12/1, 15, 37, , , 1
2017/12/2, 11, , , , 
2017/12/7, 4, 18, , , 1
2017/12/8, 4, 23, , , 1
2017/12/9, 4, 31, , , 1
2017/12/10, 6, 45, , , 1
2017/12/11, 17, 62, , , 1
2017/12/12, 17, 60, , , 1
2017/12/13, 12, 69, , , 1
2017/12/14, 15, 70, , , 1
2017/12/15, 18, 23, , , 1
2017/12/16, 7, 82, , , 1
2017/12/17, 33, 144, , , 2
2017/12/18, 62, 105, , , 1
2017/12/19, 42, 116, , , 2
2017/12/20, 47, 57, , , 1
2017/12/21, 15, , , , 
2017/7/2, 16, , , , 
2017/7/4, 16, 52, , , 
2017/7/5, 17, 53, , , 
2017/7/6, 17, 38, , , 
2017/7/7, 11, 23, , , 
2017/7/8, 11, 20, , , 
2017/7/9, 9, 33, , , 
2017/7/10, 9, 25, , , 
2017/7/11, 10, 30, , , 
2017/7/12, 11, 25, , , 
2017/7/13, 10, 28, , , 
2017/7/14, 12, 37, , , 
2017/7/15, 13, 40, , , 
2017/7/16, 14, 37, , , 
2017/7/17, 14, 38, , , 
2017/7/18, 15, 44, , , 
2017/7/19, 15, 34, , , 
2017/7/20, 11, 81, , , 
2017/7/21, 13, 49, , , 
2017/7/22, 16, 47, , , 
2017/7/23, 15, 58, , , 
2017/7/24, 17, 81, , , 
2017/7/25, 23, 66, , , 
2017/7/26, 16, 48, , , 
2017/7/27, 10, 35, , , 
2017/7/28, 11, 50, , , 
2017/7/29, 13, 63, , , 
2017/7/30, 16, 59, , , 
2017/7/31, 15, 55, , , 
2017/8/1, 14, 46, , , 
2017/8/2, 13, 43, , , 
2017/8/3, 13, 43, , , 
2017/8/4, 17, 45, , , 
2017/8/5, 16, 52, , , 
2017/8/6, 20, 64, , , 
2017/8/7, 19, 45, , , 
2017/8/8, 20, 36, , , 
2017/8/9, 13, 51, , , 
2017/8/10, 16, 26, , , 
2017/8/11, 11, 25, , , 
2017/8/12, 9, 32, , , 
2017/8/13, 12, 44, , , 
2017/8/14, 15, 54, , , 
2017/8/15, 21, 54, , , 
2017/8/16, 18, 52, , , 
2017/8/17, 20, 45, , , 
2017/8/18, 17, 50, , , 
2017/8/19, 18, 44, , , 
2017/8/20, 16, 38, , , 
2017/8/21, 14, 35, , , 
2017/8/22, 14, 41, , , 
2017/8/23, 12, 42, , , 
2017/8/24, 9, 50, , , 
2017/8/25, 11, 36, , , 
2017/8/26, 9, 41, , , 
2017/8/27, 14, 34, , , 
2017/8/28, 8, 29, , , 
2017/8/29, 6, 41, , , 
2017/8/30, 11, 46, , , 
2017/8/31, 12, 53, , , 
2017/9/1, 15, 98, , , 
2017/9/2, 11, , , , 
2017/9/4, 22, 16, , , 
2017/9/5, 5, 47, , , 
2017/9/6, 11, , , , 
2017/9/27, 14, 12, , , 
2017/9/28, 5, 11, , , 
2017/9/29, 4, 24, , , 
2017/9/30, 19, 25, , , 
2017/10/1, 13, 29, , , 
2017/4/2, 18, 54, , , 2
2017/4/3, 9, 51, , , 2
2017/4/4, 11, 70, , , 2
2017/4/5, 14, 84, , , 2
2017/4/6, 10, 50, , , 2
2017/4/7, 9, 41, , , 2
2017/4/8, 7, , , , 
2017/4/10, 20, 50, , , 2
2017/4/11, 19, 50, , , 2
2017/4/12, 23, 21, , , 2
2017/4/13, 9, 29, , , 2
2017/4/14, 11, 21, , , 2
2017/4/15, 10, 27, , , 2
2017/4/16, 11, 42, , , 2
2017/4/17, 20, 35, , , 2
2017/4/18, 14, 57, , , 2
2017/4/19, 19, 45, , , 1
2017/4/20, 16, 50, , , 1
2017/4/21, 21, 44, , , 2
2017/4/22, 18, 33, , , 2
2017/4/23, 12, , , , 
2017/4/25, 11, 60, , , 2
2017/4/26, 14, 73, , , 1
2017/4/27, 14, 70, , , 
2017/4/28, 16, 80, , , 
2017/4/29, 25, 93, , , 
2017/4/30, 26, 89, , , 
2017/5/1, 14, 62, , , 
2017/5/2, 12, 52, , , 
2017/5/3, 13, 75, , , 
2017/5/4, 22, 39, , , 
2017/5/5, 13, 41, , , 
2017/5/6, 12, 47, , , 
2017/5/7, 13, 37, , , 
2017/5/8, 9, 35, , , 
2017/5/9, 11, 32, , , 
2017/5/10, 8, 61, , , 
2017/5/19, 36, 58, , , 
2017/5/20, 34, 53, , , 
2017/5/21, 23, 51, , , 
2017/5/22, 20, 36, , , 
2017/5/23, 20, 39, , , 
2017/5/24, 25, 29, , , 
2017/5/25, 12, 53, , , 
2017/5/26, 18, 55, , , 
2017/5/27, 24, 64, , , 
2017/5/28, 32, 72, , , 
2017/5/29, 38, 37, , , 
2017/5/30, 16, 21, , , 
2017/5/31, 9, 25, , , 
2017/6/1, 12, 31, , , 
2017/6/2, 12, 29, , , 
2017/6/3, 13, 27, , , 
2017/6/4, 10, 29, , , 
2017/6/5, 14, 50, , , 
2017/6/6, 16, 57, , , 
2017/6/7, 10, 29, , , 
2017/6/8, 10, 44, , , 
2017/6/9, 12, 55, , , 
2017/6/10, 14, 49, , , 
2017/6/11, 12, 40, , , 
2017/6/12, 14, 48, , , 
2017/6/13, 16, 63, , , 
2017/6/14, 22, 35, , , 
2017/6/15, 11, 37, , , 
2017/6/16, 11, 44, , , 
2017/6/17, 13, 70, , , 
2017/6/18, 17, 65, , , 
2017/6/19, 17, 46, , , 
2017/6/20, 11, 42, , , 
2017/6/21, 10, 46, , , 
2017/6/22, 11, 57, , , 
2017/6/23, 16, 92, , , 
2017/6/24, 20, 69, , , 
2017/6/25, 21, 19, , , 
2017/6/26, 12, 25, , , 
2017/6/27, 12, 27, , , 
2017/6/28, 10, 44, , , 
2017/6/29, 16, 49, , , 
2017/6/30, 19, 42, , , 
2017/7/1, 17, 58, , , 
2017/1/10, 31, 72, , , 1
2017/1/11, 31, 80, , , 2
2017/1/12, 39, 97, , , 1
2017/1/13, 39, 52, , , 1
2017/1/14, 23, 27, , , 1
2017/1/15, 11, 31, , , 1
2017/1/16, 15, 46, , , 1
2017/1/17, 18, 44, , , 1
2017/1/18, 19, 51, , , 1
2017/1/19, 14, 61, , , 1
2017/1/20, 22, 79, , , 1
2017/1/21, 30, 121, , , 1
2017/1/22, 36, , , , 
2017/1/24, 21, 70, , , 2
2017/1/25, 25, 65, , , 1
2017/1/26, 18, 45, , , 1
2017/1/27, 13, 28, , , 1
2017/1/28, 12, 7, , , 1
2017/1/31, 12, 93, , , 2
2017/2/1, 36, 87, , , 1
2017/2/2, 30, 67, , , 1
2017/2/3, 28, 68, , , 1
2017/2/4, 25, 36, , , 1
2017/2/5, 16, 74, , , 2
2017/2/6, 34, 68, , , 2
2017/2/7, 19, 55, , , 1
2017/2/8, 15, 53, , , 1
2017/2/9, 12, 43, , , 1
2017/2/10, 8, 62, , , 1
2017/2/11, 18, 103, , , 2
2017/2/12, 31, 82, , , 2
2017/2/13, 26, 43, , , 1
2017/2/14, 14, 47, , , 1
2017/2/15, 10, 34, , , 1
2017/2/16, 10, 43, , , 1
2017/2/17, 10, 60, , , 2
2017/2/18, 15, 67, , , 1
2017/2/19, 18, 78, , , 2
2017/2/20, 27, 48, , , 1
2017/2/21, 9, 36, , , 1
2017/2/22, 6, , , , 
2017/2/25, 19, , , , 
2017/3/3, 28, , , , 
2017/3/9, 23, 44, , , 2
2017/3/10, 17, 57, , , 2
2017/3/11, 23, 39, , , 2
2017/3/12, 16, 22, , , 1
2017/3/13, 13, 36, , , 2
2017/3/14, 15, 26, , , 1
2017/3/15, 9, 65, , , 2
2017/3/16, 21, 35, , , 1
2017/3/17, 12, 59, , , 2
2017/3/18, 17, 65, , , 2
2017/3/19, 23, 40, , , 1
2017/3/20, 12, 51, , , 2
2017/3/21, 19, 63, , , 2
2017/3/22, 18, 76, , , 2
2017/3/23, 24, 50, , , 2
2017/3/24, 13, 57, , , 2
2017/3/25, 20, 69, , , 2
2017/3/26, 23, 76, , , 2
2017/3/27, 24, 71, , , 2
2017/3/28, 25, 99, , , 2
2017/3/29, 28, , , , 
2017/3/31, 15, 89, , , 2
2017/4/1, 22, 74, , , 2
2016/11/22, 41, 53, , , 1
2016/11/23, 35, 65, , , 1
2016/11/24, 33, 68, , , 1
2016/11/25, 14, 43, , , 1
2016/11/26, 15, 37, , , 1
2016/11/27, 10, 18, , , 
2016/11/28, 13, 29, , , 1
2016/11/29, 18, 44, , , 1
2016/11/30, 34, 61, , , 1
2016/12/1, 20, 55, , , 
2016/12/2, 20, 41, , , 1
2016/12/3, 27, 52, , , 1
2016/12/4, 34, 55, , , 1
2016/12/5, 5, 8, , , 
2016/12/6, 14, 27, , , 1
2016/12/7, 17, 32, , , 1
2016/12/8, 32, 57, , , 1
2016/12/9, 10, 14, , , 1
2016/12/10, 20, 31, , , 1
2016/12/11, 31, 47, , , 1
2016/12/12, 38, 63, , , 1
2016/12/13, 31, 61, , , 1
2016/12/14, 38, 78, , , 1
2016/12/15, 29, 51, , , 1
2016/12/16, 9, 15, , , 1
2016/12/17, 48, 75, , , 1
2016/12/18, 34, 68, , , 1
2016/12/19, 19, 61, , , 1
2016/12/20, 8, 15, , , 
2016/12/21, 40, 82, , , 1
2016/12/22, 41, 89, , , 1
2016/12/23, 32, 64, , , 1
2016/12/24, 51, 67, , , 1
2016/12/25, 42, 76, , , 1
2016/12/26, 38, 56, , , 1
2016/12/27, 38, 63, , , 1
2016/12/28, 32, 54, , , 1
2020/6/10, , 15, 41, 9, 11
2020/5/4, , 35, 41, 3, 6
2020/5/11, , 13, 34, 5, 7
2020/5/12, , 21, 40, 6, 8
2020/5/14, , 15, 29, 5, 8
2020/5/21, , 42, 29, 5, 10
2020/5/22, , 31, 47, 6, 10
2020/4/10, , 28, 30, 10, 
2020/3/20, , 33, 14, 12, 29
2020/1/1, , 26, 21, 7, 21
2019/10/31, , 21, , , 
2019/12/10, , 47, , , 1
2019/7/2, , 41, , , 
2019/8/9, , 66, , , 
2019/8/10, , 48, , , 
2019/8/11, , 28, , , 
2019/8/12, , 54, , , 
2019/8/13, , 46, , , 
2019/8/14, , 24, , , 
2019/8/15, , 32, , , 
2019/8/16, , 21, , , 
2019/9/1, , 25, , , 
2019/9/2, , 24, , , 
2019/9/16, , 16, , , 1
2019/9/19, , 36, , , 1
2019/9/23, , 27, , , 1
2019/6/16, , , , , 
2019/1/1, , , , , 
2019/3/5, , , , , 
2019/3/19, , , , , 
2019/3/20, , , , , 
2019/3/21, , , , , 
2019/3/22, , , , , 
2019/3/27, , , , , 
2019/3/28, , , , , 
2019/3/29, , , , , 
2018/10/11, , 24, , , 1
2018/11/7, , 64, , , 1
2018/12/3, , 39, , , 1
2018/7/2, , 88, , , 2
2018/7/3, , 93, , , 2
2018/7/4, , 84, , , 2
2018/7/5, , 74, , , 2
2018/7/6, , 71, , , 2
2018/7/7, , 47, , , 2
2018/7/8, , 36, , , 2
2018/7/9, , 52, , , 2
2018/7/10, , 65, , , 2
2018/7/11, , 69, , , 2
2018/7/12, , 54, , , 2
2018/7/13, , 73, , , 2
2018/7/14, , 64, , , 2
2018/7/15, , 49, , , 2
2018/7/16, , 100, , , 2
2018/7/17, , 126, , , 2
2018/7/18, , 89, , , 2
2018/7/19, , 242, , , 2
2018/8/3, , 37, , , 2
2018/8/4, , 45, , , 2
2018/8/5, , 37, , , 2
2018/8/6, , 27, , , 2
2018/8/7, , 32, , , 2
2018/8/8, , 32, , , 2
2018/8/9, , 34, , , 2
2018/8/10, , 54, , , 2
2018/8/11, , 59, , , 2
2018/8/12, , 38, , , 2
2018/8/13, , 40, , , 2
2018/8/14, , 56, , , 2
2018/8/15, , 57, , , 2
2018/8/16, , 48, , , 2
2018/8/17, , 48, , , 2
2018/8/18, , 55, , , 2
2018/8/19, , 46, , , 2
2018/8/20, , 44, , , 2
2018/8/21, , 42, , , 2
2018/8/22, , 34, , , 2
2018/8/23, , 37, , , 2
2018/8/24, , 46, , , 2
2018/8/25, , 24, , , 2
2018/9/18, , 15, , , 2
2018/9/19, , 21, , , 2
2018/6/8, , 63, , , 
2018/6/9, , 27, , , 1
2018/6/10, , 31, , , 2
2018/6/11, , 86, , , 2
2018/6/12, , 55, , , 1
2018/6/13, , 38, , , 1
2018/6/14, , 52, , , 1
2018/6/15, , 39, , , 1
2018/6/16, , 33, , , 1
2018/6/17, , 32, , , 1
2018/6/18, , 41, , , 2
2018/6/19, , 44, , , 2
2018/6/20, , 43, , , 2
2018/6/21, , 25, , , 2
2018/6/22, , 33, , , 2
2018/6/25, , 32, , , 2
2018/6/26, , 30, , , 1
2018/6/27, , 27, , , 1
2018/6/28, , 41, , , 2
2018/6/29, , 55, , , 2
2018/7/1, , 88, , , 2
2018/1/4, , 18, , , 1
2018/2/6, , 85, , , 2
2017/12/5, , 69, , , 1
2017/12/6, , 41, , , 1
2017/7/3, , 42, , , 
2017/9/3, , 41, , , 
2017/9/26, , 16, , , 
2017/4/9, , 64, , , 2
2017/4/24, , 38, , , 2
2017/5/11, , 59, , , 
2017/5/12, , 56, , , 
2017/5/13, , 56, , , 
2017/5/14, , 38, , , 
2017/5/15, , 50, , , 
2017/5/16, , 51, , , 
2017/5/17, , 71, , , 
2017/5/18, , 81, , , 
2017/1/9, , 64, , , 1
2017/1/23, , 46, , , 1
2017/1/30, , 35, , , 1
2017/2/24, , 166, , , 1
2017/3/2, , 39, , , 
2017/3/8, , 29, , , 1
2017/3/30, , 63, , , 2
2016/10/29, , 31, , , 
2016/10/30, , 41, , , 
2016/10/31, , 31, , , 1
2016/11/1, , 56, , , 1
2016/11/2, , 42, , , 1
2016/11/3, , 25, , , 
2016/11/4, , 15, , , 
2016/11/5, , 16, , , 1
2016/11/6, , 24, , , 1
2016/11/7, , 25, , , 
2016/11/8, , 60, , , 1
2016/11/9, , 28, , , 
2016/11/10, , 24, , , 
2016/11/11, , 22, , , 
2016/11/12, , 40, , , 1
2016/11/13, , 32, , , 1
2016/11/14, , 25, , , 1
2016/11/15, , 64, , , 1
2016/11/16, , 44, , , 1
2016/11/17, , 37, , , 1
2016/11/18, , 73, , , 1
2016/11/19, , 56, , , 1
2016/11/20, , 28, , , 
2016/11/21, , 25, , , 1
2020/2/17, , , 49, 12, 32
2018/9/17, , , , , 2